id,ingredients
400,"Whiskey, Beer, Lemonade, Ice"
401,"Gin, Apricot Brandy, Orange Juice"
402,"Light rum, Coconut milk, Pineapple"
403,"Ginger, Pineapple"
404,"Bitters, Gin"
405,"Gin, Grenadine, Light cream, Egg white"
406,"Sprite, Pink lemonade, Vodka"
407,"Everclear, Vodka, Peach schnapps, Orange juice, Cranberry juice"
408,"Pisco, Lemon juice, Sugar, Ice"
409,"Dark rum, Orgeat syrup, Orange juice, Pineapple juice"
410,"Vodka, Cherry liqueur, Cranberry juice, Orange juice"
411,"Gin, Creme de Cacao"
412,"Grenadine, Green Creme de Menthe"
413,"Port, Brandy"
414,"Port, Light cream, Powdered sugar, Egg, Nutmeg"
415,"Brandy, Port, Egg Yolk"
416,"Orange juice, Apple juice, Pineapple juice, Ice"
417,"Light rum, Brandy, Lemon, Raspberry syrup"
418,"Light rum, Sherry, Lime"
419,"Coffee brandy, Lime vodka, Sherry"
420,"Red wine, Grenadine, Lemon-lime soda"
421,"Dry Vermouth, Gin, Benedictine"
422,"Dark rum, Kahlua, Light cream, Nutmeg"
423,"Kahlua, Midori melon liqueur, Bailey's irish cream"
424,"Black Sambuca, Orange juice"
425,"Rum, Vodka, Tequila, Gin, Triple sec, Chambord raspberry liqueur, Midori melon liqueur, Malibu rum"
426,"Beer, 7-Up"
427,"Sugar syrup, Lemon juice, Ginger ale"
428,"Raspberry vodka, Lemon-lime soda, Ice"
429,"Crown Royal, Amaretto, Cranberry juice"
430,"Dry Vermouth, Gin, Apricot brandy, Lemon juice, Grenadine, Powdered sugar"
431,"Frangelico, Crown Royal"
432,"Gin, Sweet and sour, Egg, Coca-Cola"
433,"Crown Royal, Peach schnapps, Chambord raspberry liqueur, Cranberry juice"
434,"Gin, Lemon, Powdered sugar, Egg, Carbonated water"
435,"Gin, Cranberry juice, Grenadine"
436,"Sugar, Club soda, Lemon, Dark rum, Maraschino cherry, Orange"
437,"Rum, Lemon-lime soda, Lemon"
438,"Light rum, Milk, Powdered sugar, Nutmeg"
439,"Light rum, 151 proof rum, Powdered sugar, Bitters, Water, Lime peel"
440,"Rum, Ginger ale, Fruit punch, Orange juice, Ice"
441,"Malibu rum, Blackberry brandy, Orange juice, Pineapple juice, Cranberry juice"
442,"Light rum, Orange juice"
443,"Light rum, Lemon juice, Sugar, Orange, Maraschino cherry"
444,"Rum, Powdered sugar, Lemon peel, Water"
445,"Vodka, Creme de Cassis, Sugar Syrup, Lemon Juice"
446,"Scotch, Drambuie, Lemon peel"
447,"Grapefruit juice, Gin, Salt"
448,"Vodka, Creme de Banane, Grenadine, Orange juice"
449,"Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon"
450,"Red wine, Sugar, Lemon, Orange, Apple, Brandy, Soda water"
451,"Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel"
452,"Brandy, Amaretto, Light cream"
453,"Scotch, Brandy, Curacao, Orange, Mint"
454,"Scotch, Lime, Powdered sugar, Lemon, Cherry"
455,"Johnnie Walker, Honey, Angelica root, Fennel seeds, Lemon peel"
456,"Vodka, Bailey's irish cream, Kahlua"
457,"Vodka, Orange juice"
458,"Vodka, Cranberry juice, Grapefruit juice"
459,"Vodka, Peach schnapps, Cranberry juice, Grapefruit juice"
460,"Light rum, Anisette, Grenadine, Lemon"
461,"Lemonade, Water, Vodka"
462,"Sherry, Powdered sugar, Egg, Milk, Nutmeg"
463,"Sherry, Light cream, Powdered sugar, Egg, Nutmeg"
464,"Jim Beam, Jack Daniels, Wild Turkey"
465,"Cognac, Cointreau, Lemon juice"
466,"Brandy, Triple sec, Lemon"
467,"Cherry brandy, Grenadine, Gin, Sweet and sour, Carbonated water, Cherry"
468,"Sloe gin, Dry Vermouth, Orange bitters"
469,"Red wine, Peach schnapps, Pepsi Cola, Orange juice"
470,"Lager, Cider"
471,"Lager, Cider, Blackcurrant squash"
472,"Advocaat, Lemonade, Lemon, Ice"
473,"Brandy, Anisette"
474,"151 proof rum, Malibu rum, Pineapple juice, Orange juice, Grenadine, Cherries"
475,"Milk, Chocolate, Cinnamon, Egg yolk"
476,"Peach nectar, Orange juice, Brown sugar, Cinnamon, Cloves, Lime juice"
477,"Coffee, Cinnamon"
478,"Prosecco, Campari, Soda Water"
479,"Brandy, White Creme de Menthe"
480,"Apricot brandy, Orange juice, Sweet and sour"
481,"Strawberry schnapps, Light rum, Lime juice, Powdered sugar, Strawberries"
482,"Lemon, Sugar, Strawberries, Water"
483,"Strawberry schnapps, Tequila, Triple sec, Lemon juice, Strawberries, Salt"
484,"Strawberries, Honey, Water"
485,"Pineapple juice, Club soda, Orange juice, Lemon, Berries, Champagne"
486,"Ouzo, Bailey's irish cream, Gin, Grand Marnier"
487,"Coffee, Aquavit, Sugar"
